id;Kanji;Strokes;JLPT-test;"Name of Radical";"Reading within Joyo";"Reading beyond Joyo"
87;円;4;5;Doogamae;エン、まる-い;まど
603;行;6;5;Gyoogamae;コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う;
1630;白;5;5;Shiro;ハク、ビャク、しろ、[しら]、しろ-い;
1886;本;5;5;"Ki, Kihen";ホン、もと;
1376;中;4;5;Boo;チュウ、[ジュウ]、なか;うち、あ
359;九;2;5;"Otsu, Otsunyoo";キュウ、ク、ここの、ここの-つ;
1895;毎;6;5;"Haha, Hahanokan";マイ;ごと
365;休;6;5;"Hito, Ninben, Hitoyane";キュウ、やす-む、やす-まる、やす-める;
623;校;10;5;"Ki, Kihen";コウ;ギョウ
1647;八;2;5;Hachi;ハチ、や、や-つ、やっ-つ、[よう];ハツ
1906;万;3;5;Ichi;マン、バン;よろず
628;高;10;5;Takai;コウ、たか-い、たか、たか-まる、たか-める;
1397;長;8;5;Nagai;チョウ、なが-い;たけ、おさ、まさ、た
1656;半;5;5;Juu;ハン、なか-ば;
131;下;3;5;Ichi;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;
133;火;4;5;"Hi, Hihen, Renga";カ、ひ、[ほ];コ
1926;名;6;5;"Kuchi, Kuchihen";メイ、ミョウ、な;
