kanji;kankenLevel
溶;4
踊;4
謡;4
翼;4
雷;4
頼;4
絡;4
欄;4
離;4
粒;4
慮;4
療;4
隣;4
涙;4
隷;4
齢;4
麗;4
暦;4
劣;4
烈;4
恋;4
露;4
郎;4
惑;4
腕;4
哀;3
慰;3
詠;3
悦;3
閲;3
炎;3
宴;3
欧;3
殴;3
乙;3
卸;3
穏;3
佳;3
架;3
華;3
嫁;3
怪;3
悔;3
塊;3
郭;3
隔;3
穫;3
掛;3
滑;3
肝;3
冠;3
貫;3
勘;3
喚;3
換;3
敢;3
緩;3
餓;3
該;3
慨;3
概;3
岳;3
企;3
忌;3
軌;3
既;3
棋;3
棄;3
騎;3
菊;3
吉;3
喫;3
虚;3
峡;3
脅;3
斤;3
緊;3
欺;3
犠;3
虐;3
凝;3
愚;3
偶;3
遇;3
刑;3
契;3
啓;3
掲;3
携;3
憩;3
鶏;3
倹;3
賢;3
鯨;3
幻;3
孤;3
弧;3
雇;3
顧;3
孔;3
甲;3
巧;3
坑;3
拘;3
郊;3
控;3
硬;3
絞;3
慌;3
綱;3
酵;3
克;3
恨;3
紺;3
魂;3
墾;3
娯;3
悟;3
獄;3
債;3
催;3
削;3
搾;3
錯;3
撮;3
擦;3
暫;3
祉;3
施;3
諮;3
疾;3
湿;3
赦;3
殊;3
匠;3
昇;3
掌;3
晶;3
焦;3
衝;3
鐘;3
嘱;3
辛;3
伸;3
審;3
侍;3
慈;3
軸;3
邪;3
寿;3
遵;3
潤;3
如;3
徐;3
冗;3
錠;3
嬢;3
譲;3
辱;3
炊;3
粋;3
衰;3
酔;3
遂;3
穂;3
随;3
髄;3
瀬;3
牲;3
婿;3
請;3
斥;3
隻;3
惜;3
籍;3
摂;3
潜;3
繕;3
阻;3
粗;3
措;3
礎;3
双;3
桑;3
掃;3
葬;3
遭;3
促;3
憎;3
賊;3
胎;3
怠;3
袋;3
逮;3
滞;3
滝;3
択;3
卓;3
託;3
胆;3
鍛;3
諾;3
奪;3
壇;3
稚;3
畜;3
窒;3
抽;3
鋳;3
駐;3
彫;3
超;3
聴;3
陳;3
鎮;3
墜;3
訂;3
帝;3
締;3
哲;3
斗;3
塗;3
凍;3
陶;3
痘;3
匿;3
篤;3
豚;3
尿;3
粘;3
排;3
帆;3
伴;3
畔;3
藩;3
婆;3
陪;3
縛;3
伐;3
蛮;3
卑;3
碑;3
泌;3
姫;3
漂;3
苗;3
赴;3
符;3
封;3
伏;3
覆;3
紛;3
墳;3
癖;3
芳;3
邦;3
奉;3
胞;3
倣;3
崩;3
飽;3
縫;3
翻;3
募;3
慕;3
簿;3
乏;3
妨;3
房;3
某;3
膨;3
謀;3
墨;3
没;3
魔;3
埋;3
膜;3
又;3
魅;3
滅;3
免;3
幽;3
誘;3
憂;3
揚;3
揺;3
擁;3
抑;3
裸;3
濫;3
吏;3
隆;3
了;3
陵;3
猟;3
糧;3
厘;3
励;3
零;3
霊;3
裂;3
廉;3
錬;3
炉;3
浪;3
廊;3
楼;3
漏;3
湾;3
亜;pre2
尉;pre2
逸;pre2
姻;pre2
韻;pre2
畝;pre2
浦;pre2
疫;pre2
謁;pre2
猿;pre2
凹;pre2
翁;pre2
虞;pre2
蚊;pre2
渦;pre2
禍;pre2
靴;pre2
寡;pre2
稼;pre2
拐;pre2
懐;pre2
垣;pre2
核;pre2
殻;pre2
嚇;pre2
且;pre2
括;pre2
喝;pre2
渇;pre2
褐;pre2
轄;pre2
缶;pre2
陥;pre2
患;pre2
閑;pre2
堪;pre2
棺;pre2
款;pre2
寛;pre2
還;pre2
憾;pre2
艦;pre2
劾;pre2
涯;pre2
頑;pre2
飢;pre2
糾;pre2
窮;pre2
拒;pre2
享;pre2
挟;pre2
恭;pre2
矯;pre2
菌;pre2
琴;pre2
謹;pre2
襟;pre2
宜;pre2
偽;pre2
擬;pre2
暁;pre2
吟;pre2
勲;pre2
薫;pre2
隅;pre2
茎;pre2
蛍;pre2
渓;pre2
慶;pre2
傑;pre2
嫌;pre2
献;pre2
謙;pre2
繭;pre2
顕;pre2
懸;pre2
弦;pre2
江;pre2
肯;pre2
洪;pre2
侯;pre2
貢;pre2
溝;pre2
衡;pre2
購;pre2
酷;pre2
昆;pre2
懇;pre2
呉;pre2
碁;pre2
拷;pre2
剛;pre2
唆;pre2
詐;pre2
砕;pre2
宰;pre2
栽;pre2
斎;pre2
索;pre2
酢;pre2
桟;pre2
傘;pre2
肢;pre2
嗣;pre2
賜;pre2
漆;pre2
遮;pre2
酌;pre2
爵;pre2
珠;pre2
囚;pre2
臭;pre2
酬;pre2
愁;pre2
醜;pre2
叔;pre2
粛;pre2
淑;pre2
俊;pre2
庶;pre2
緒;pre2
升;pre2
肖;pre2
抄;pre2
尚;pre2
症;pre2
祥;pre2
宵;pre2
訟;pre2
渉;pre2
硝;pre2
粧;pre2
詔;pre2
奨;pre2
彰;pre2
礁;pre2
償;pre2
津;pre2
唇;pre2
娠;pre2
紳;pre2
診;pre2
璽;pre2
蛇;pre2
儒;pre2
汁;pre2
充;pre2
渋;pre2
銃;pre2
塾;pre2
准;pre2
殉;pre2
循;pre2
叙;pre2
浄;pre2
剰;pre2
壌;pre2
醸;pre2
刃;pre2
迅;pre2
甚;pre2
帥;pre2
睡;pre2
枢;pre2
崇;pre2
据;pre2
杉;pre2
斉;pre2
逝;pre2
誓;pre2
析;pre2
拙;pre2
窃;pre2
仙;pre2
栓;pre2
旋;pre2
践;pre2
遷;pre2
薦;pre2
繊;pre2
禅;pre2
漸;pre2
租;pre2
疎;pre2
塑;pre2
壮;pre2
荘;pre2
捜;pre2
挿;pre2
曹;pre2
喪;pre2
槽;pre2
霜;pre2
藻;pre2
泰;pre2
濯;pre2
但;pre2
棚;pre2
妥;pre2
堕;pre2
惰;pre2
駄;pre2
痴;pre2
逐;pre2
秩;pre2
嫡;pre2
衷;pre2
弔;pre2
挑;pre2
眺;pre2
釣;pre2
懲;pre2
勅;pre2
朕;pre2
塚;pre2
漬;pre2
坪;pre2
呈;pre2
廷;pre2
邸;pre2
貞;pre2
亭;pre2
逓;pre2
偵;pre2
艇;pre2
迭;pre2
徹;pre2
撤;pre2
泥;pre2
悼;pre2
筒;pre2
搭;pre2
棟;pre2
謄;pre2
騰;pre2
督;pre2
凸;pre2
屯;pre2
洞;pre2
軟;pre2
尼;pre2
妊;pre2
忍;pre2
寧;pre2
把;pre2
覇;pre2
廃;pre2
伯;pre2
舶;pre2
肌;pre2
鉢;pre2
頒;pre2
煩;pre2
培;pre2
媒;pre2
賠;pre2
漠;pre2
閥;pre2
妃;pre2
披;pre2
扉;pre2
罷;pre2
賓;pre2
頻;pre2
猫;pre2
瓶;pre2
扶;pre2
附;pre2
譜;pre2
沸;pre2
雰;pre2
憤;pre2
侮;pre2
丙;pre2
併;pre2
塀;pre2
幣;pre2
弊;pre2
偏;pre2
遍;pre2
泡;pre2
俸;pre2
褒;pre2
堀;pre2
奔;pre2
紡;pre2
剖;pre2
朴;pre2
僕;pre2
撲;pre2
麻;pre2
摩;pre2
磨;pre2
抹;pre2
岬;pre2
銘;pre2
妄;pre2
盲;pre2
耗;pre2
厄;pre2
愉;pre2
諭;pre2
癒;pre2
唯;pre2
悠;pre2
裕;pre2
猶;pre2
融;pre2
庸;pre2
窯;pre2
羅;pre2
酪;pre2
痢;pre2
履;pre2
柳;pre2
竜;pre2
硫;pre2
虜;pre2
涼;pre2
僚;pre2
寮;pre2
倫;pre2
累;pre2
塁;pre2
戻;pre2
鈴;pre2
賄;pre2
枠;pre2
挨;2
曖;2
宛;2
嵐;2
畏;2
萎;2
椅;2
彙;2
咽;2
淫;2
唄;2
鬱;2
怨;2
艶;2
旺;2
臆;2
俺;2
苛;2
楷;2
潰;2
諧;2
柿;2
葛;2
釜;2
鎌;2
韓;2
牙;2
瓦;2
崖;2
蓋;2
骸;2
顎;2
玩;2
伎;2
亀;2
毀;2
畿;2
臼;2
嗅;2
巾;2
僅;2
錦;2
串;2
窟;2
惧;2
詣;2
稽;2
憬;2
桁;2
拳;2
鍵;2
隙;2
舷;2
股;2
虎;2
錮;2
乞;2
勾;2
梗;2
喉;2
駒;2
頃;2
痕;2
傲;2
沙;2
采;2
塞;2
柵;2
刹;2
拶;2
挫;2
斬;2
恣;2
摯;2
𠮟;2
嫉;2
腫;2
袖;2
羞;2
蹴;2
憧;2
拭;2
尻;2
芯;2
餌;2
呪;2
腎;2
須;2
裾;2
凄;2
醒;2
脊;2
戚;2
羨;2
腺;2
詮;2
煎;2
箋;2
膳;2
狙;2
遡;2
爽;2
曽;2
痩;2
踪;2
捉;2
遜;2
汰;2
堆;2
戴;2
旦;2
綻;2
唾;2
誰;2
緻;2
酎;2
貼;2
嘲;2
捗;2
椎;2
爪;2
鶴;2
諦;2
塡;2
溺;2
妬;2
賭;2
藤;2
頓;2
瞳;2
貪;2
丼;2
那;2
謎;2
鍋;2
匂;2
虹;2
捻;2
剝;2
箸;2
氾;2
汎;2
斑;2
罵;2
膝;2
肘;2
眉;2
訃;2
蔽;2
餅;2
璧;2
蔑;2
哺;2
蜂;2
頰;2
貌;2
睦;2
勃;2
昧;2
枕;2
蜜;2
冥;2
麺;2
冶;2
弥;2
闇;2
喩;2
湧;2
妖;2
瘍;2
沃;2
拉;2
辣;2
藍;2
璃;2
慄;2
侶;2
瞭;2
瑠;2
呂;2
賂;2
弄;2
籠;2
麓;2
脇;2
阿;pre1
啞;pre1
蛙;pre1
娃;pre1
偓;pre1
渥;pre1
斡;pre1
按;pre1
庵;pre1
鞍;pre1
夷;pre1
伊;pre1
惟;pre1
葦;pre1
飴;pre1
謂;pre1
鮪;pre1
郁;pre1
溢;pre1
鰯;pre1
允;pre1
胤;pre1
寅;pre1
蔭;pre1
迂;pre1
烏;pre1
蔚;pre1
云;pre1
曳;pre1
盈;pre1
洩;pre1
瑛;pre1
穎;pre1
叡;pre1
嬰;pre1
亦;pre1
苑;pre1
奄;pre1
掩;pre1
堰;pre1
淵;pre1
焰;pre1
鳶;pre1
厭;pre1
薗;pre1
鴛;pre1
燕;pre1
於;pre1
姶;pre1
凰;pre1
鴨;pre1
鴦;pre1
襖;pre1
鶯;pre1
鷗;pre1
鸚;pre1
禾;pre1
瓜;pre1
伽;pre1
茄;pre1
卦;pre1
迦;pre1
珂;pre1
嘩;pre1
嘉;pre1
榎;pre1
樺;pre1
蝦;pre1
霞;pre1
芥;pre1
廻;pre1
恢;pre1
晦;pre1
堺;pre1
魁;pre1
檜;pre1
蟹;pre1
塙;pre1
赫;pre1
劃;pre1
廓;pre1
摑;pre1
樫;pre1
筈;pre1
函;pre1
侃;pre1
竿;pre1
姦;pre1
柑;pre1
莞;pre1
桓;pre1
菅;pre1
澗;pre1
翰;pre1
舘;pre1
諫;pre1
灌;pre1
臥;pre1
俄;pre1
峨;pre1
蛾;pre1
駕;pre1
亥;pre1
苅;pre1
咳;pre1
凱;pre1
碍;pre1
漑;pre1
鎧;pre1
鍔;pre1
鰐;pre1
雁;pre1
翫;pre1
癌;pre1
贋;pre1
巌;pre1
祁;pre1
其;pre1
稀;pre1
葵;pre1
箕;pre1
嬉;pre1
槻;pre1
毅;pre1
窺;pre1
磯;pre1
徽;pre1
麒;pre1
鰭;pre1
掬;pre1
鞠;pre1
麴;pre1
吃;pre1
迄;pre1
桔;pre1
橘;pre1
仇;pre1
汲;pre1
灸;pre1
玖;pre1
笈;pre1
韮;pre1
鳩;pre1
厩;pre1
渠;pre1
噓;pre1
鋸;pre1
叶;pre1
兇;pre1
匡;pre1
劫;pre1
杏;pre1
怯;pre1
俠;pre1
喬;pre1
僑;pre1
蕎;pre1
彊;pre1
橿;pre1
饗;pre1
旭;pre1
粁;pre1
芹;pre1
欣;pre1
衿;pre1
欽;pre1
禽;pre1
檎;pre1
妓;pre1
祇;pre1
誼;pre1
蟻;pre1
禦;pre1
尭;pre1
狗;pre1
矩;pre1
俱;pre1
駈;pre1
軀;pre1
粂;pre1
喰;pre1
寓;pre1
袈;pre1
圭;pre1
荊;pre1
桂;pre1
珪;pre1
畦;pre1
卿;pre1
罫;pre1
慧;pre1
頸;pre1
鮭;pre1
繫;pre1
馨;pre1
頁;pre1
訣;pre1
蕨;pre1
倦;pre1
捲;pre1
牽;pre1
硯;pre1
絢;pre1
萱;pre1
喧;pre1
蜎;pre1
鰹;pre1
鹼;pre1
戟;pre1
彦;pre1
絃;pre1
諺;pre1
乎;pre1
姑;pre1
胡;pre1
狐;pre1
袴;pre1
菰;pre1
壺;pre1
跨;pre1
鈷;pre1
瑚;pre1
糊;pre1
叩;pre1
弘;pre1
亙;pre1
亘;pre1
宏;pre1
亨;pre1
肴;pre1
肱;pre1
庚;pre1
昂;pre1
杭;pre1
佼;pre1
垢;pre1
巷;pre1
恰;pre1
紘;pre1
晃;pre1
浩;pre1
倖;pre1
皐;pre1
袷;pre1
釦;pre1
腔;pre1
蛤;pre1
鉤;pre1
幌;pre1
膏;pre1
閤;pre1
縞;pre1
糠;pre1
藁;pre1
鮫;pre1
鴻;pre1
鵠;pre1
礦;pre1
攪;pre1
忽;pre1
惚;pre1
艮;pre1
坤;pre1
昏;pre1
梱;pre1
伍;pre1
冴;pre1
吾;pre1
梧;pre1
醐;pre1
壕;pre1
濠;pre1
嚙;pre1
轟;pre1
叉;pre1
乍;pre1
些;pre1
紗;pre1
蓑;pre1
裟;pre1
嵯;pre1
瑳;pre1
哉;pre1
柴;pre1
砦;pre1
晒;pre1
啐;pre1
犀;pre1
榊;pre1
窄;pre1
朔;pre1
笹;pre1
撒;pre1
薩;pre1
珊;pre1
蒜;pre1
餐;pre1
燦;pre1
纂;pre1
讃;pre1
坐;pre1
之;pre1
巳;pre1
只;pre1
仔;pre1
弛;pre1
此;pre1
孜;pre1
屍;pre1
砥;pre1
笥;pre1
匙;pre1
梓;pre1
偲;pre1
覗;pre1
斯;pre1
蒔;pre1
獅;pre1
髭;pre1
鴫;pre1
悉;pre1
蛭;pre1
櫛;pre1
柘;pre1
這;pre1
勺;pre1
杓;pre1
灼;pre1
錫;pre1
諏;pre1
酋;pre1
柊;pre1
洲;pre1
萩;pre1
葺;pre1
蒐;pre1
輯;pre1
繡;pre1
鰍;pre1
龝;pre1
鷲;pre1
夙;pre1
粥;pre1
隼;pre1
峻;pre1
竣;pre1
舜;pre1
駿;pre1
杵;pre1
渚;pre1
黍;pre1
薯;pre1
曙;pre1
藷;pre1
丞;pre1
庄;pre1
妾;pre1
昌;pre1
秤;pre1
哨;pre1
菖;pre1
娼;pre1
捷;pre1
梢;pre1
湘;pre1
蛸;pre1
蔣;pre1
裳;pre1
嘗;pre1
摺;pre1
蕉;pre1
廠;pre1
樟;pre1
錆;pre1
鞘;pre1
樵;pre1
橡;pre1
篠;pre1
鍬;pre1
鍾;pre1
醬;pre1
埴;pre1
蝕;pre1
燭;pre1
辰;pre1
矧;pre1
疹;pre1
秦;pre1
晋;pre1
賑;pre1
榛;pre1
槙;pre1
而;pre1
痔;pre1
爾;pre1
雀;pre1
惹;pre1
竪;pre1
綬;pre1
嬬;pre1
濡;pre1
廿;pre1
什;pre1
戎;pre1
惇;pre1
淳;pre1
閏;pre1
馴;pre1
楯;pre1
醇;pre1
汝;pre1
恕;pre1
鋤;pre1
杖;pre1
茸;pre1
穣;pre1
擾;pre1
壬;pre1
荏;pre1
訊;pre1
靱;pre1
稔;pre1
塵;pre1
儘;pre1
翠;pre1
錘;pre1
錐;pre1
嵩;pre1
趨;pre1
雛;pre1
椙;pre1
瑞;pre1
蕊;pre1
栖;pre1
甥;pre1
貰;pre1
棲;pre1
靖;pre1
鉦;pre1
鯖;pre1
瀞;pre1
汐;pre1
碩;pre1
蹟;pre1
屑;pre1
鱈;pre1
舛;pre1
尖;pre1
苫;pre1
穿;pre1
茜;pre1
閃;pre1
栴;pre1
釧;pre1
揃;pre1
銑;pre1
煽;pre1
箭;pre1
賤;pre1
撰;pre1
蟬;pre1
糎;pre1
脆;pre1
苒;pre1
姐;pre1
岨;pre1
疏;pre1
鼠;pre1
楚;pre1
蘇;pre1
匝;pre1
宋;pre1
蚤;pre1
